 58  18  26   7 0.1000   5.00
  0.0900   2   0.0000   0.0000  0   0.0000
 3.275  3.371 -0.454 0.71194090E+04
 3.339  3.361 -0.555 0.71196900E+04
  0.9000  43   0.4252   0.7185  0   0.0000
-0.217  3.718  4.428 0.00000000E+00
-0.094  3.744  4.410 0.46885800E+03
-0.086  3.744  4.403 0.74800600E+03
-0.044  3.743  4.355 0.21796900E+04
-0.005  3.738  4.296 0.35684300E+04
 0.026  3.732  4.240 0.46978900E+04
 0.046  3.730  4.211 0.51883800E+04
 0.095  3.735  4.182 0.55098900E+04
 0.188  3.748  4.143 0.55758200E+04
 0.207  3.749  4.129 0.55799100E+04
 0.216  3.748  4.117 0.55835700E+04
 0.249  3.741  4.053 0.57031700E+04
 0.313  3.729  3.940 0.62491100E+04
 0.342  3.709  3.832 0.65038800E+04
 0.336  3.699  3.799 0.65645800E+04
 0.321  3.678  3.729 0.66564200E+04
 0.328  3.668  3.685 0.66939700E+04
 0.442  3.651  3.503 0.67937700E+04
 0.560  3.645  3.358 0.68542400E+04
 0.679  3.639  3.216 0.69027900E+04
 0.797  3.633  3.074 0.69449800E+04
 0.921  3.626  2.921 0.69777600E+04
 1.043  3.619  2.772 0.70042300E+04
 1.163  3.611  2.619 0.70257600E+04
 1.288  3.602  2.460 0.70453100E+04
 1.412  3.592  2.297 0.70625100E+04
 1.535  3.583  2.137 0.70773200E+04
 1.661  3.572  1.966 0.70865200E+04
 1.783  3.562  1.806 0.70933700E+04
 1.902  3.551  1.640 0.70989300E+04
 2.021  3.541  1.481 0.71028700E+04
 2.136  3.529  1.318 0.71063500E+04
 2.278  3.516  1.123 0.71094200E+04
 2.399  3.501  0.945 0.71117700E+04
 2.517  3.488  0.775 0.71135400E+04
 2.630  3.472  0.598 0.71148700E+04
 2.733  3.454  0.421 0.71159500E+04
 2.844  3.442  0.262 0.71168500E+04
 2.948  3.427  0.098 0.71176800E+04
 3.051  3.411 -0.068 0.71183100E+04
 3.158  3.395 -0.241 0.71188800E+04
 3.252  3.374 -0.418 0.71193100E+04
 3.339  3.361 -0.555 0.71196900E+04
  1.0000  43   0.4241   0.8525  0   0.0000
-0.023  3.735  4.349 0.00000000E+00
